gene_index_1based statistic p_value is_significant
1 4.8890824 0.0 1
2 6.6732645 0.0 1
3 2.923728 0.0 1
4 6.505584 0.0 1
5 2.9955542 0.0 1
6 2.3740845 0.002 1
7 6.1598434 0.0 1
8 9.004522 0.0 1
9 2.0009186 0.022 1
10 3.2152052 0.0 1
11 1.2168338 0.542 0
12 0.33973742 1.0 0
13 0.21286906 1.0 0
14 4.803581 0.0 1
15 9.518357 0.0 1
16 6.896674 0.0 1
17 9.029031 0.0 1
18 0.116962746 1.0 0
19 4.5906715 0.0 1
20 3.7402494 0.0 1
21 1.3046359 0.41 0
22 4.5680976 0.0 1
23 8.290995 0.0 1
24 5.3112884 0.0 1
25 1.081201 0.71 0
26 7.539195 0.0 1
27 4.8106194 0.0 1
28 8.090364 0.0 1
29 0.30519876 1.0 0
30 2.233782 0.01 1
31 8.401291 0.0 1
32 4.280676 0.0 1
33 9.506005 0.0 1
34 6.801296 0.0 1
35 7.1300917 0.0 1
36 7.2132173 0.0 1
37 8.881743 0.0 1
38 2.2980933 0.004 1
39 3.4253285 0.0 1
40 7.7975407 0.0 1
41 0.70624876 0.968 0
42 0.34814322 1.0 0
43 0.017434917 1.0 0
44 5.6935687 0.0 1
45 0.39936924 1.0 0
46 4.580312 0.0 1
47 9.610323 0.0 1
48 2.65759 0.0 1
49 5.5575004 0.0 1
50 4.2490087 0.0 1
51 7.408932 0.0 1
52 6.7592645 0.0 1
53 3.4564636 0.0 1
54 6.8827715 0.0 1
55 4.6148763 0.0 1
56 6.327222 0.0 1
57 0.3742677 1.0 0
58 5.810007 0.0 1
59 3.0448344 0.0 1
60 2.3456743 0.002 1
61 4.3753214 0.0 1
62 3.588225 0.0 1
63 8.794107 0.0 1
64 0.11475075 1.0 0
65 0.71500826 0.964 0
66 0.21218058 1.0 0
67 0.3913834 1.0 0
68 6.795779 0.0 1
69 2.971527 0.0 1
70 7.085075 0.0 1
71 8.142938 0.0 1
72 0.23100184 1.0 0
73 5.8721952 0.0 1
74 7.337768 0.0 1
75 0.62583053 0.982 0
76 2.7008083 0.0 1
77 1.8881456 0.04 1
78 2.9120662 0.0 1
79 4.9842424 0.0 1
80 1.216503 0.542 0
81 8.412655 0.0 1
82 6.497055 0.0 1
83 0.106879115 1.0 0
84 2.0173545 0.02 1
85 0.005874022 1.0 0
86 4.8173647 0.0 1
87 4.0764265 0.0 1
88 2.4403098 0.002 1
89 5.496198 0.0 1
90 3.2837412 0.0 1
91 2.327128 0.002 1
92 0.11591178 1.0 0
93 9.052221 0.0 1
94 7.812374 0.0 1
95 1.4053203 0.288 0
96 1.4647008 0.236 0
97 0.023158785 1.0 0
98 0.25683364 1.0 0
99 2.854886 0.0 1
100 5.4672227 0.0 1
101 1.9464377 0.026 1
102 7.0742717 0.0 1
103 0.28243694 1.0 0
104 0.6384817 0.982 0
105 2.8639464 0.0 1
106 4.925467 0.0 1
107 0.35486075 1.0 0
108 0.187848 1.0 0
109 5.8337064 0.0 1
110 2.9498544 0.0 1
111 8.923831 0.0 1
112 0.9010162 0.876 0
113 0.9451193 0.85 0
114 5.620418 0.0 1
115 0.4135246 1.0 0
116 9.696109 0.0 1
